Localidade,CodigoIBGE,I2000,I2010
Joselândia,2105609,0.367,0.561
Junco do Maranhão,2105658,0.372,0.552
Lago da Pedra,2105708,0.43,0.589
Lago do Junco,2105807,0.388,0.581
Lago Verde,2105906,0.348,0.557
Lagoa do Mato,2105922,0.313,0.566
Lago dos Rodrigues,2105948,0.393,0.602
Lagoa Grande do Maranhão,2105963,0.309,0.502
Lajeado Novo,2105989,0.374,0.589
Lima Campos,2106003,0.405,0.581
Loreto,2106102,0.398,0.582
Luís Domingues,2106201,0.452,0.588
Magalhães de Almeida,2106300,0.386,0.567
Maracaçumé,2106326,0.391,0.582
Marajá do Sena,2106359,0.309,0.452
Maranhãozinho,2106375,0.306,0.55
Mata Roma,2106409,0.39,0.57
Matinha,2106508,0.443,0.619
Matões,2106607,0.33,0.55
Matões do Norte,2106631,0.342,0.533
Milagres do Maranhão,2106672,0.322,0.527
Mirador,2106706,0.368,0.545
Miranda do Norte,2106755,0.471,0.61
Mirinzal,2106805,0.491,0.622
Monção,2106904,0.366,0.546
Montes Altos,2107001,0.412,0.575
Morros,2107100,0.4,0.548
Nina Rodrigues,2107209,0.415,0.585
Nova Colinas,2107258,0.371,0.566
Nova Iorque,2107308,0.416,0.584
Nova Olinda do Maranhão,2107357,0.382,0.581
Olho d'Água das Cunhãs,2107407,0.402,0.589
Olinda Nova do Maranhão,2107456,0.412,0.575
Paço do Lumiar,2107506,0.617,0.724
Palmeirândia,2107605,0.383,0.556
Paraibano,2107704,0.409,0.58
Parnarama,2107803,0.352,0.542
Passagem Franca,2107902,0.383,0.532
Pastos Bons,2108009,0.431,0.61
Paulino Neves,2108058,0.317,0.561
Paulo Ramos,2108108,0.358,0.549
Pedreiras,2108207,0.502,0.682
Pedro do Rosário,2108256,0.316,0.516
Penalva,2108306,0.381,0.554
Peri Mirim,2108405,0.403,0.599
Peritoró,2108454,0.354,0.564
Pindaré-Mirim,2108504,0.459,0.633
Pinheiro,2108603,0.467,0.637
Pio XII,2108702,0.36,0.541
Pirapemas,2108801,0.384,0.576
Poção de Pedras,2108900,0.396,0.576
Porto Franco,2109007,0.504,0.684
Porto Rico do Maranhão,2109056,0.45,0.615
Presidente Dutra,2109106,0.496,0.653
Presidente Juscelino,2109205,0.371,0.563
Presidente Médici,2109239,0.432,0.591
