Localidade,CodigoIBGE,I2000,I2010
Pescador,3150000,0.547,0.656
Piau,3150109,0.516,0.629
Piedade de Caratinga,3150158,0.474,0.612
Piedade de Ponte Nova,3150208,0.516,0.639
Piedade do Rio Grande,3150307,0.513,0.678
Piedade dos Gerais,3150406,0.462,0.626
Pimenta,3150505,0.579,0.686
Pingo-d'Água,3150539,0.509,0.619
Pintópolis,3150570,0.451,0.594
Piracema,3150604,0.52,0.646
Pirajuba,3150703,0.635,0.723
Piranga,3150802,0.463,0.6
Piranguçu,3150901,0.565,0.685
Piranguinho,3151008,0.588,0.717
Pirapetinga,3151107,0.601,0.709
Pirapora,3151206,0.614,0.731
Piraúba,3151305,0.598,0.684
Pitangui,3151404,0.649,0.725
Piumhi,3151503,0.657,0.737
Planura,3151602,0.615,0.712
Poço Fundo,3151701,0.56,0.691
Poços de Caldas,3151800,0.716,0.779
Pocrane,3151909,0.537,0.626
Pompéu,3152006,0.546,0.689
Ponte Nova,3152105,0.62,0.717
Ponto Chique,3152131,0.462,0.606
Ponto dos Volantes,3152170,0.402,0.595
Porteirinha,3152204,0.482,0.651
Porto Firme,3152303,0.482,0.634
Poté,3152402,0.473,0.624
Pouso Alegre,3152501,0.69,0.774
Pouso Alto,3152600,0.56,0.71
Prados,3152709,0.559,0.689
Prata,3152808,0.578,0.695
Pratápolis,3152907,0.627,0.729
Pratinha,3153004,0.573,0.721
Presidente Bernardes,3153103,0.47,0.632
Presidente Juscelino,3153202,0.485,0.614
Presidente Kubitschek,3153301,0.495,0.595
Presidente Olegário,3153400,0.557,0.701
Alto Jequitibá,3153509,0.572,0.66
Prudente de Morais,3153608,0.6,0.69
Quartel Geral,3153707,0.539,0.683
Queluzito,3153806,0.549,0.682
Raposos,3153905,0.635,0.73
Raul Soares,3154002,0.548,0.655
Recreio,3154101,0.596,0.692
Reduto,3154150,0.48,0.629
Resende Costa,3154200,0.568,0.685
Resplendor,3154309,0.58,0.67
Ressaquinha,3154408,0.52,0.683
Riachinho,3154457,0.513,0.632
Riacho dos Machados,3154507,0.436,0.627
Ribeirão das Neves,3154606,0.577,0.684
Ribeirão Vermelho,3154705,0.631,0.737
Rio Acima,3154804,0.552,0.673
Rio Casca,3154903,0.538,0.65
Rio Doce,3155009,0.57,0.664
Rio do Prado,3155108,0.457,0.605
Rio Espera,3155207,0.456,0.602
Rio Manso,3155306,0.501,0.648
Rio Novo,3155405,0.637,0.707
Rio Paranaíba,3155504,0.566,0.709
Rio Pardo de Minas,3155603,0.421,0.624
Rio Piracicaba,3155702,0.568,0.685
Rio Pomba,3155801,0.617,0.714
Rio Preto,3155900,0.593,0.679
Rio Vermelho,3156007,0.439,0.558
Ritápolis,3156106,0.53,0.653
Rochedo de Minas,3156205,0.549,0.684
Rodeiro,3156304,0.587,0.668
Romaria,3156403,0.597,0.708
Rosário da Limeira,3156452,0.498,0.662
Rubelita,3156502,0.442,0.582
Rubim,3156601,0.468,0.609
Sabará,3156700,0.621,0.731
Sabinópolis,3156809,0.517,0.638
Sacramento,3156908,0.628,0.732
Salinas,3157005,0.535,0.679
Salto da Divisa,3157104,0.484,0.608
Santa Bárbara,3157203,0.605,0.707
Santa Bárbara do Leste,3157252,0.49,0.613
Santa Bárbara do Monte Verde,3157278,0.557,0.606
Santa Bárbara do Tugúrio,3157302,0.489,0.637
Santa Cruz de Minas,3157336,0.608,0.706
Santa Cruz de Salinas,3157377,0.407,0.577
Santa Cruz do Escalvado,3157401,0.445,0.625
Santa Efigênia de Minas,3157500,0.437,0.607
Santa Fé de Minas,3157609,0.516,0.615
Santa Helena de Minas,3157658,0.463,0.567
Santa Juliana,3157708,0.623,0.706
Santa Luzia,3157807,0.608,0.715
Santa Margarida,3157906,0.488,0.61
Santa Maria de Itabira,3158003,0.522,0.648
Santa Maria do Salto,3158102,0.434,0.613
Santa Maria do Suaçuí,3158201,0.497,0.64
Santana da Vargem,3158300,0.611,0.698
Santana de Cataguases,3158409,0.602,0.694
Santana de Pirapama,3158508,0.472,0.628
Santana do Deserto,3158607,0.559,0.651
Santana do Garambéu,3158706,0.526,0.667
Santana do Jacaré,3158805,0.562,0.647
Santana do Manhuaçu,3158904,0.509,0.621
Santana do Paraíso,3158953,0.56,0.685
Santana do Riacho,3159001,0.496,0.665
Santana dos Montes,3159100,0.474,0.647
Santa Rita de Caldas,3159209,0.599,0.69
Santa Rita de Jacutinga,3159308,0.589,0.682
Santa Rita de Minas,3159357,0.483,0.613
Santa Rita de Ibitipoca,3159407,0.51,0.63
Santa Rita do Itueto,3159506,0.486,0.607
Santa Rita do Sapucaí,3159605,0.654,0.721
Santa Rosa da Serra,3159704,0.593,0.705
Santa Vitória,3159803,0.565,0.71
Santo Antônio do Amparo,3159902,0.579,0.672
Santo Antônio do Aventureiro,3160009,0.555,0.671
Santo Antônio do Grama,3160108,0.508,0.633
Santo Antônio do Itambé,3160207,0.392,0.558
Santo Antônio do Jacinto,3160306,0.427,0.574
Santo Antônio do Monte,3160405,0.623,0.724
Santo Antônio do Retiro,3160454,0.376,0.57
Santo Antônio do Rio Abaixo,3160504,0.537,0.669
Santo Hipólito,3160603,0.514,0.657
Santos Dumont,3160702,0.64,0.741
São Bento Abade,3160801,0.532,0.672
São Brás do Suaçuí,3160900,0.568,0.664
São Domingos das Dores,3160959,0.507,0.638
São Domingos do Prata,3161007,0.561,0.69
São Félix de Minas,3161056,0.487,0.62
São Francisco,3161106,0.485,0.638
São Francisco de Paula,3161205,0.533,0.66
São Francisco de Sales,3161304,0.612,0.688
São Francisco do Glória,3161403,0.538,0.663
São Geraldo,3161502,0.542,0.651
São Geraldo da Piedade,3161601,0.459,0.6
São Geraldo do Baixio,3161650,0.498,0.63
São Gonçalo do Abaeté,3161700,0.553,0.67
São Gonçalo do Pará,3161809,0.567,0.689
São Gonçalo do Rio Abaixo,3161908,0.521,0.667
São Gonçalo do Sapucaí,3162005,0.604,0.715
São Gotardo,3162104,0.627,0.736
São João Batista do Glória,3162203,0.607,0.724
São João da Lagoa,3162252,0.487,0.634
São João da Mata,3162302,0.585,0.653
São João da Ponte,3162401,0.406,0.569
São João das Missões,3162450,0.36,0.529
São João del Rei,3162500,0.673,0.758
São João do Manhuaçu,3162559,0.506,0.65
São João do Manteninha,3162575,0.539,0.64
São João do Oriente,3162609,0.548,0.648
São João do Pacuí,3162658,0.382,0.625
São João do Paraíso,3162708,0.443,0.615
São João Evangelista,3162807,0.527,0.638
São João Nepomuceno,3162906,0.614,0.708
São Joaquim de Bicas,3162922,0.532,0.662
São José da Barra,3162948,0.667,0.739
São José da Lapa,3162955,0.621,0.729
São José da Safira,3163003,0.461,0.583
São José da Varginha,3163102,0.576,0.704
São José do Alegre,3163201,0.619,0.717
São José do Divino,3163300,0.522,0.658
São José do Goiabal,3163409,0.545,0.666
São José do Jacuri,3163508,0.479,0.566
São José do Mantimento,3163607,0.53,0.657
São Lourenço,3163706,0.699,0.759
São Miguel do Anta,3163805,0.536,0.644
São Pedro da União,3163904,0.571,0.674
São Pedro dos Ferros,3164001,0.545,0.659
São Pedro do Suaçuí,3164100,0.464,0.622
São Romão,3164209,0.518,0.64
São Roque de Minas,3164308,0.585,0.672
São Sebastião da Bela Vista,3164407,0.55,0.692
São Sebastião da Vargem Alegre,3164431,0.515,0.66
São Sebastião do Anta,3164472,0.436,0.607
São Sebastião do Maranhão,3164506,0.441,0.581
São Sebastião do Oeste,3164605,0.541,0.626
São Sebastião do Paraíso,3164704,0.642,0.722
São Sebastião do Rio Preto,3164803,0.524,0.632
São Sebastião do Rio Verde,3164902,0.584,0.676
São Tiago,3165008,0.565,0.662
São Tomás de Aquino,3165107,0.595,0.7
São Thomé das Letras,3165206,0.531,0.667
São Vicente de Minas,3165305,0.619,0.715
Sapucaí-Mirim,3165404,0.582,0.68
Sardoá,3165503,0.521,0.636
Sarzedo,3165537,0.588,0.734
Setubinha,3165552,0.387,0.542
Sem-Peixe,3165560,0.506,0.654
Senador Amaral,3165578,0.524,0.661
Senador Cortes,3165602,0.52,0.674
Senador Firmino,3165701,0.572,0.644
Senador José Bento,3165800,0.595,0.684
Senador Modestino Gonçalves,3165909,0.483,0.62
Senhora de Oliveira,3166006,0.477,0.631
Senhora do Porto,3166105,0.409,0.565
Senhora dos Remédios,3166204,0.473,0.626
Sericita,3166303,0.466,0.56
Seritinga,3166402,0.532,0.66
Serra Azul de Minas,3166501,0.438,0.557
Serra da Saudade,3166600,0.606,0.677
Serra dos Aimorés,3166709,0.544,0.651
Serra do Salitre,3166808,0.588,0.696
Serrania,3166907,0.597,0.677
Serranópolis de Minas,3166956,0.44,0.633
Serranos,3167004,0.507,0.643
Serro,3167103,0.493,0.656
Sete Lagoas,3167202,0.66,0.76
Silveirânia,3167301,0.557,0.652
Silvianópolis,3167400,0.576,0.699
Simão Pereira,3167509,0.569,0.638
Simonésia,3167608,0.506,0.632
Sobrália,3167707,0.51,0.631
Soledade de Minas,3167806,0.594,0.697
Tabuleiro,3167905,0.554,0.681
Taiobeiras,3168002,0.519,0.67
Taparuba,3168051,0.554,0.645
Tapira,3168101,0.578,0.712
Tapiraí,3168200,0.552,0.667
Taquaraçu de Minas,3168309,0.515,0.651
Tarumirim,3168408,0.525,0.633
Teixeiras,3168507,0.549,0.675
Teófilo Otoni,3168606,0.589,0.701
Timóteo,3168705,0.695,0.77
Tiradentes,3168804,0.61,0.74
Tiros,3168903,0.586,0.683
Tocantins,3169000,0.593,0.688
Tocos do Moji,3169059,0.55,0.696
Toledo,3169109,0.528,0.661
Tombos,3169208,0.606,0.718
Três Corações,3169307,0.635,0.744
Três Marias,3169356,0.641,0.752
Três Pontas,3169406,0.626,0.731
Tumiritinga,3169505,0.468,0.626
Tupaciguara,3169604,0.634,0.719
Turmalina,3169703,0.516,0.682
Turvolândia,3169802,0.584,0.696
Ubá,3169901,0.628,0.724
Ubaí,3170008,0.456,0.609
Ubaporanga,3170057,0.512,0.614
Uberaba,3170107,0.692,0.772
Uberlândia,3170206,0.702,0.789
Umburatiba,3170305,0.462,0.638
Unaí,3170404,0.651,0.736
União de Minas,3170438,0.533,0.672
Uruana de Minas,3170479,0.477,0.664
Urucânia,3170503,0.54,0.633
Urucuia,3170529,0.459,0.619
Vargem Alegre,3170578,0.526,0.631
Vargem Bonita,3170602,0.591,0.696
Vargem Grande do Rio Pardo,3170651,0.451,0.634
Varginha,3170701,0.702,0.778
Varjão de Minas,3170750,0.583,0.711
Várzea da Palma,3170800,0.563,0.666
Varzelândia,3170909,0.419,0.594
Vazante,3171006,0.619,0.742
Verdelândia,3171030,0.358,0.584
Veredinha,3171071,0.481,0.632
Veríssimo,3171105,0.557,0.667
Vermelho Novo,3171154,0.504,0.612
Vespasiano,3171204,0.598,0.688
Viçosa,3171303,0.677,0.775
Vieiras,3171402,0.548,0.668
Mathias Lobato,3171501,0.52,0.612
Virgem da Lapa,3171600,0.513,0.61
Virgínia,3171709,0.527,0.651
Virginópolis,3171808,0.573,0.675
Virgolândia,3171907,0.486,0.62
Visconde do Rio Branco,3172004,0.599,0.709
Volta Grande,3172103,0.583,0.669
Wenceslau Braz,3172202,0.57,0.678
Afonso Cláudio,3200102,0.553,0.667
Águia Branca,3200136,0.539,0.678
Água Doce do Norte,3200169,0.527,0.652
Alegre,3200201,0.616,0.721
Alfredo Chaves,3200300,0.604,0.71
Alto Rio Novo,3200359,0.564,0.664
Anchieta,3200409,0.627,0.73
Apiacá,3200508,0.553,0.673
Aracruz,3200607,0.638,0.752
Atilio Vivacqua,3200706,0.574,0.708
Baixo Guandu,3200805,0.592,0.702
Barra de São Francisco,3200904,0.565,0.683
Boa Esperança,3201001,0.564,0.679
Bom Jesus do Norte,3201100,0.622,0.734
Brejetuba,3201159,0.509,0.656
Cachoeiro de Itapemirim,3201209,0.631,0.746
Cariacica,3201308,0.613,0.718
Castelo,3201407,0.651,0.726
Colatina,3201506,0.657,0.746
Conceição da Barra,3201605,0.57,0.681
Conceição do Castelo,3201704,0.551,0.67
Divino de São Lourenço,3201803,0.47,0.632
Domingos Martins,3201902,0.541,0.669
Dores do Rio Preto,3202009,0.57,0.654
Ecoporanga,3202108,0.542,0.662
Fundão,3202207,0.598,0.718
Governador Lindenberg,3202256,0.544,0.694
Guaçuí,3202306,0.599,0.703
Guarapari,3202405,0.637,0.731
Ibatiba,3202454,0.542,0.647
Ibiraçu,3202504,0.652,0.726
Ibitirama,3202553,0.483,0.622
Iconha,3202603,0.654,0.729
Irupi,3202652,0.486,0.637
Itaguaçu,3202702,0.612,0.702
Itapemirim,3202801,0.525,0.654
Itarana,3202900,0.581,0.684
Iúna,3203007,0.531,0.666
Jaguaré,3203056,0.524,0.678
Jerônimo Monteiro,3203106,0.6,0.698
João Neiva,3203130,0.658,0.753
Laranja da Terra,3203163,0.551,0.656
Linhares,3203205,0.621,0.724
Mantenópolis,3203304,0.528,0.657
Marataízes,3203320,0.592,0.696
Marechal Floriano,3203346,0.585,0.71
Marilândia,3203353,0.597,0.696
Mimoso do Sul,3203403,0.572,0.67
Montanha,3203502,0.558,0.667
Mucurici,3203601,0.519,0.666
Muniz Freire,3203700,0.54,0.645
Muqui,3203809,0.589,0.694
Nova Venécia,3203908,0.627,0.712
Pancas,3204005,0.527,0.667
Pedro Canário,3204054,0.544,0.654
Pinheiros,3204104,0.567,0.673
Piúma,3204203,0.624,0.727
Ponto Belo,3204252,0.547,0.669
Presidente Kennedy,3204302,0.532,0.657
Rio Bananal,3204351,0.567,0.681
Rio Novo do Sul,3204401,0.593,0.711
Santa Leopoldina,3204500,0.468,0.626
Santa Maria de Jetibá,3204559,0.502,0.671
Santa Teresa,3204609,0.62,0.714
São Domingos do Norte,3204658,0.562,0.682
São Gabriel da Palha,3204708,0.617,0.709
São José do Calçado,3204807,0.608,0.688
São Mateus,3204906,0.61,0.735
São Roque do Canaã,3204955,0.603,0.7
Serra,3205002,0.634,0.739
Sooretama,3205010,0.523,0.662
Vargem Alta,3205036,0.555,0.663
Venda Nova do Imigrante,3205069,0.654,0.728
Viana,3205101,0.592,0.686
Vila Pavão,3205150,0.518,0.681
Vila Valério,3205176,0.515,0.675
Vila Velha,3205200,0.709,0.8
Vitória,3205309,0.759,0.845
Angra dos Reis,3300100,0.599,0.724
Aperibé,3300159,0.62,0.692
Araruama,3300209,0.579,0.718
Areal,3300225,0.611,0.684
Armação dos Búzios,3300233,0.604,0.728
Arraial do Cabo,3300258,0.632,0.733
Barra do Piraí,3300308,0.626,0.733
Barra Mansa,3300407,0.641,0.729
Belford Roxo,3300456,0.57,0.684
Bom Jardim,3300506,0.561,0.66
Bom Jesus do Itabapoana,3300605,0.625,0.732
Cabo Frio,3300704,0.614,0.735
Cachoeiras de Macacu,3300803,0.58,0.7
Cambuci,3300902,0.599,0.691
Carapebus,3300936,0.579,0.713
Comendador Levy Gasparian,3300951,0.597,0.685
Campos dos Goytacazes,3301009,0.618,0.716
Cantagalo,3301108,0.612,0.709
Cardoso Moreira,3301157,0.52,0.648
Carmo,3301207,0.621,0.696
Casimiro de Abreu,3301306,0.619,0.726
Conceição de Macabu,3301405,0.615,0.712
Cordeiro,3301504,0.644,0.729
Duas Barras,3301603,0.543,0.659
Duque de Caxias,3301702,0.601,0.711
Engenheiro Paulo de Frontin,3301801,0.604,0.722
Guapimirim,3301850,0.572,0.698
Iguaba Grande,3301876,0.626,0.761
Itaboraí,3301900,0.553,0.693
Itaguaí,3302007,0.589,0.715
Italva,3302056,0.561,0.688
Itaocara,3302106,0.627,0.713
Itaperuna,3302205,0.624,0.73
Itatiaia,3302254,0.653,0.737
Japeri,3302270,0.529,0.659
Laje do Muriaé,3302304,0.561,0.668
Macaé,3302403,0.665,0.764
Macuco,3302452,0.625,0.703
Magé,3302502,0.573,0.709
Mangaratiba,3302601,0.642,0.753
Maricá,3302700,0.637,0.765
Mendes,3302809,0.642,0.736
Mesquita,3302858,0.634,0.737
Miguel Pereira,3302908,0.642,0.745
Miracema,3303005,0.615,0.713
Natividade,3303104,0.626,0.73
Nilópolis,3303203,0.656,0.753
Niterói,3303302,0.771,0.837
Nova Friburgo,3303401,0.654,0.745
Nova Iguaçu,3303500,0.597,0.713
Paracambi,3303609,0.615,0.72
Paraíba do Sul,3303708,0.619,0.702
Paraty,3303807,0.583,0.693
Paty do Alferes,3303856,0.541,0.671
Petrópolis,3303906,0.649,0.745
Pinheiral,3303955,0.614,0.715
Piraí,3304003,0.612,0.708
Porciúncula,3304102,0.572,0.697
Porto Real,3304110,0.568,0.713
Quatis,3304128,0.591,0.69
Queimados,3304144,0.55,0.68
Quissamã,3304151,0.561,0.704
Resende,3304201,0.66,0.768
Rio Bonito,3304300,0.609,0.71
Rio Claro,3304409,0.584,0.683
Rio das Flores,3304508,0.603,0.68
Rio das Ostras,3304524,0.62,0.773
Rio de Janeiro,3304557,0.716,0.799
Santa Maria Madalena,3304607,0.573,0.668
Santo Antônio de Pádua,3304706,0.611,0.718
São Francisco de Itabapoana,3304755,0.503,0.639
São Fidélis,3304805,0.59,0.691
São Gonçalo,3304904,0.641,0.739
São João da Barra,3305000,0.548,0.671
São João de Meriti,3305109,0.62,0.719
São José de Ubá,3305133,0.542,0.652
São José do Vale do Rio Preto,3305158,0.556,0.66
São Pedro da Aldeia,3305208,0.598,0.712
São Sebastião do Alto,3305307,0.554,0.646
Sapucaia,3305406,0.586,0.675
Saquarema,3305505,0.591,0.709
Seropédica,3305554,0.586,0.713
Silva Jardim,3305604,0.546,0.654
Sumidouro,3305703,0.5,0.611
Tanguá,3305752,0.52,0.654
Teresópolis,3305802,0.627,0.73
Trajano de Moraes,3305901,0.555,0.667
Três Rios,3306008,0.627,0.725
Valença,3306107,0.627,0.738
Varre-Sai,3306156,0.522,0.659
Vassouras,3306206,0.62,0.714
Volta Redonda,3306305,0.682,0.771
Adamantina,3500105,0.721,0.79
Adolfo,3500204,0.667,0.73
Aguaí,3500303,0.642,0.715
Águas da Prata,3500402,0.692,0.781
Águas de Lindóia,3500501,0.695,0.745
Águas de Santa Bárbara,3500550,0.668,0.757
Águas de São Pedro,3500600,0.791,0.854
Agudos,3500709,0.669,0.745
Alambari,3500758,0.572,0.712
Alfredo Marcondes,3500808,0.646,0.741
Altair,3500907,0.605,0.687
Altinópolis,3501004,0.658,0.73
Alto Alegre,3501103,0.616,0.7
Alumínio,3501152,0.682,0.766
Álvares Florence,3501202,0.665,0.728
Álvares Machado,3501301,0.661,0.758
Álvaro de Carvalho,3501400,0.56,0.688
Alvinlândia,3501509,0.555,0.722
Americana,3501608,0.735,0.811
Américo Brasiliense,3501707,0.658,0.751
Américo de Campos,3501806,0.644,0.745
Amparo,3501905,0.716,0.785
Analândia,3502002,0.685,0.754
Andradina,3502101,0.717,0.779
Angatuba,3502200,0.612,0.719
Anhembi,3502309,0.626,0.721
Anhumas,3502408,0.585,0.741
Aparecida,3502507,0.689,0.755
Aparecida d'Oeste,3502606,0.626,0.721
Apiaí,3502705,0.605,0.71
Araçariguama,3502754,0.602,0.704
Araçatuba,3502804,0.744,0.788
Araçoiaba da Serra,3502903,0.658,0.776
Aramina,3503000,0.628,0.74
Arandu,3503109,0.584,0.685
Arapeí,3503158,0.594,0.68
Araraquara,3503208,0.742,0.815
Araras,3503307,0.71,0.781
Arco-Íris,3503356,0.636,0.722
Arealva,3503406,0.662,0.744
Areias,3503505,0.6,0.697
Areiópolis,3503604,0.578,0.695
Ariranha,3503703,0.633,0.733
Artur Nogueira,3503802,0.658,0.749
Arujá,3503901,0.67,0.784
Aspásia,3503950,0.629,0.735
Assis,3504008,0.728,0.805
Atibaia,3504107,0.675,0.765
Auriflama,3504206,0.677,0.773
Avaí,3504305,0.608,0.714
Avanhandava,3504404,0.608,0.705
Avaré,3504503,0.683,0.767
Bady Bassitt,3504602,0.688,0.746
Balbinos,3504701,0.639,0.669
Bálsamo,3504800,0.705,0.756
Bananal,3504909,0.632,0.733
Barão de Antonina,3505005,0.593,0.711
Barbosa,3505104,0.588,0.699
Bariri,3505203,0.698,0.75
Barra Bonita,3505302,0.706,0.788
Barra do Chapéu,3505351,0.488,0.66
Barra do Turvo,3505401,0.482,0.641
Barretos,3505500,0.71,0.789
Barrinha,3505609,0.591,0.725
Barueri,3505708,0.705,0.786
Bastos,3505807,0.651,0.751
Batatais,3505906,0.695,0.761
Bauru,3506003,0.736,0.801
Bebedouro,3506102,0.695,0.78
Bento de Abreu,3506201,0.635,0.744
Bernardino de Campos,3506300,0.643,0.734
Bertioga,3506359,0.634,0.73
Bilac,3506409,0.709,0.768
Birigui,3506508,0.703,0.78
Biritiba-Mirim,3506607,0.603,0.712
Boa Esperança do Sul,3506706,0.602,0.681
Bocaina,3506805,0.677,0.742
Bofete,3506904,0.616,0.705
Boituva,3507001,0.672,0.78
Bom Jesus dos Perdões,3507100,0.617,0.713
Bom Sucesso de Itararé,3507159,0.539,0.66
Borá,3507209,0.649,0.746
Boracéia,3507308,0.637,0.754
Borborema,3507407,0.63,0.73
Borebi,3507456,0.578,0.705
Botucatu,3507506,0.718,0.8
Bragança Paulista,3507605,0.687,0.776
Braúna,3507704,0.669,0.737
Brejo Alegre,3507753,0.597,0.71
Brodowski,3507803,0.665,0.755
Brotas,3507902,0.664,0.74
Buri,3508009,0.542,0.667
Buritama,3508108,0.66,0.763
Buritizal,3508207,0.608,0.735
Cabrália Paulista,3508306,0.577,0.694
Cabreúva,3508405,0.626,0.738
Caçapava,3508504,0.694,0.788
Cachoeira Paulista,3508603,0.676,0.764
Caconde,3508702,0.619,0.72
Cafelândia,3508801,0.654,0.742
Caiabu,3508900,0.626,0.729
Caieiras,3509007,0.687,0.781
Caiuá,3509106,0.593,0.697
Cajamar,3509205,0.634,0.728
Cajati,3509254,0.579,0.694
Cajobi,3509304,0.617,0.734
Cajuru,3509403,0.648,0.713
Campina do Monte Alegre,3509452,0.592,0.717
Campinas,3509502,0.735,0.805
Campo Limpo Paulista,3509601,0.678,0.769
Campos do Jordão,3509700,0.653,0.749
Campos Novos Paulista,3509809,0.592,0.706
Cananéia,3509908,0.625,0.72
Canas,3509957,0.577,0.704
Cândido Mota,3510005,0.656,0.747
Cândido Rodrigues,3510104,0.629,0.789
Canitar,3510153,0.545,0.68
Capão Bonito,3510203,0.579,0.721
Capela do Alto,3510302,0.573,0.699
Capivari,3510401,0.655,0.75
Caraguatatuba,3510500,0.685,0.759
Carapicuíba,3510609,0.644,0.749
Cardoso,3510708,0.656,0.722
Casa Branca,3510807,0.699,0.73
Cássia dos Coqueiros,3510906,0.643,0.734
Castilho,3511003,0.634,0.731
Catanduva,3511102,0.705,0.785
Catiguá,3511201,0.632,0.751
Cedral,3511300,0.657,0.766
Cerqueira César,3511409,0.631,0.729
Cerquilho,3511508,0.713,0.782
Cesário Lange,3511607,0.622,0.706
Charqueada,3511706,0.636,0.736
Clementina,3511904,0.636,0.725
Colina,3512001,0.663,0.757
Colômbia,3512100,0.607,0.71
Conchal,3512209,0.602,0.708
Conchas,3512308,0.658,0.736
Cordeirópolis,3512407,0.706,0.758
Coroados,3512506,0.63,0.719
Coronel Macedo,3512605,0.561,0.69
Corumbataí,3512704,0.641,0.754
Cosmópolis,3512803,0.665,0.769
Cosmorama,3512902,0.627,0.722
Cotia,3513009,0.693,0.78
Cravinhos,3513108,0.668,0.756
Cristais Paulista,3513207,0.609,0.734
Cruzália,3513306,0.69,0.774
Cruzeiro,3513405,0.704,0.788
Cubatão,3513504,0.634,0.737
Cunha,3513603,0.543,0.684
Descalvado,3513702,0.7,0.76
Diadema,3513801,0.664,0.757
Dirce Reis,3513850,0.644,0.741
Divinolândia,3513900,0.63,0.734
Dobrada,3514007,0.625,0.718
Dois Córregos,3514106,0.642,0.725
Dolcinópolis,3514205,0.647,0.742
Dourado,3514304,0.658,0.738
Dracena,3514403,0.717,0.776
Duartina,3514502,0.638,0.748
Dumont,3514601,0.675,0.744
Echaporã,3514700,0.634,0.745
Eldorado,3514809,0.588,0.691
Elias Fausto,3514908,0.589,0.695
Elisiário,3514924,0.615,0.747
Embaúba,3514957,0.655,0.73
Embu,3515004,0.63,0.735
Embu-Guaçu,3515103,0.65,0.749
Emilianópolis,3515129,0.635,0.727
Engenheiro Coelho,3515152,0.646,0.732
Espírito Santo do Pinhal,3515186,0.681,0.787
Espírito Santo do Turvo,3515194,0.573,0.696
Estrela d'Oeste,3515202,0.677,0.76
Estrela do Norte,3515301,0.645,0.74
Euclides da Cunha Paulista,3515350,0.599,0.704
Fartura,3515400,0.633,0.732
Fernandópolis,3515509,0.728,0.797
Fernando Prestes,3515608,0.634,0.758
Fernão,3515657,0.642,0.703
Ferraz de Vasconcelos,3515707,0.637,0.738
Flora Rica,3515806,0.639,0.727
Floreal,3515905,0.664,0.747
Flórida Paulista,3516002,0.622,0.715
Florínia,3516101,0.642,0.713
Franca,3516200,0.688,0.78
Francisco Morato,3516309,0.571,0.703
Franco da Rocha,3516408,0.628,0.731
Gabriel Monteiro,3516507,0.631,0.763
Gália,3516606,0.606,0.709
Garça,3516705,0.685,0.769
Gastão Vidigal,3516804,0.638,0.723
Gavião Peixoto,3516853,0.597,0.719
General Salgado,3516903,0.659,0.747
Getulina,3517000,0.623,0.717
Glicério,3517109,0.629,0.735
Guaiçara,3517208,0.615,0.739
Guaimbê,3517307,0.607,0.728
Guaíra,3517406,0.675,0.753
Guapiaçu,3517505,0.679,0.725
Guapiara,3517604,0.514,0.675
Guará,3517703,0.605,0.718
Guaraçaí,3517802,0.663,0.719
Guaraci,3517901,0.632,0.737
Guarani d'Oeste,3518008,0.62,0.732
Guarantã,3518107,0.582,0.713
Guararapes,3518206,0.687,0.763
Guararema,3518305,0.658,0.731
Guaratinguetá,3518404,0.718,0.798
Guareí,3518503,0.579,0.687
Guariba,3518602,0.603,0.719
Guarujá,3518701,0.636,0.751
Guarulhos,3518800,0.678,0.763
Guatapará,3518859,0.652,0.743
Guzolândia,3518909,0.613,0.697
Herculândia,3519006,0.612,0.727
Holambra,3519055,0.688,0.793
Hortolândia,3519071,0.636,0.756
Iacanga,3519105,0.672,0.745
Iacri,3519204,0.629,0.733
Iaras,3519253,0.568,0.674
Ibaté,3519303,0.616,0.703
Ibirá,3519402,0.65,0.74
Ibirarema,3519501,0.662,0.708
Ibitinga,3519600,0.666,0.747
Ibiúna,3519709,0.577,0.71
Icém,3519808,0.646,0.72
Iepê,3519907,0.644,0.736
Igaraçu do Tietê,3520004,0.611,0.727
Igarapava,3520103,0.666,0.768
Igaratá,3520202,0.603,0.711
Iguape,3520301,0.632,0.726
Ilhabela,3520400,0.658,0.756
Ilha Comprida,3520426,0.694,0.725
Ilha Solteira,3520442,0.752,0.812
Indaiatuba,3520509,0.704,0.788
Indiana,3520608,0.678,0.761
Indiaporã,3520707,0.662,0.751
Inúbia Paulista,3520806,0.664,0.759
Ipaussu,3520905,0.623,0.727
Iperó,3521002,0.607,0.719
Ipeúna,3521101,0.669,0.753
Ipiguá,3521150,0.652,0.73
Iporanga,3521200,0.581,0.703
Ipuã,3521309,0.639,0.749
Iracemápolis,3521408,0.687,0.776
Irapuã,3521507,0.616,0.713
Irapuru,3521606,0.645,0.712
Itaberá,3521705,0.571,0.693
Itaí,3521804,0.581,0.713
Itajobi,3521903,0.643,0.73
Itaju,3522000,0.643,0.705
Itanhaém,3522109,0.652,0.745
Itaóca,3522158,0.533,0.68
Itapecerica da Serra,3522208,0.64,0.742
Itapetininga,3522307,0.662,0.763
Itapeva,3522406,0.619,0.732
Itapevi,3522505,0.61,0.735
Itapira,3522604,0.687,0.762
Itapirapuã Paulista,3522653,0.504,0.661
Itápolis,3522703,0.655,0.744
Itaporanga,3522802,0.593,0.719
Itapuí,3522901,0.616,0.725
Itapura,3523008,0.606,0.72
